sequenceID	record_ID	organism	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	virus_species	virus_order	virus_family	virus_genus	virus_type
127515.Trichechus_manatus.N	127515	Trichechus_manatus	complete	goldenpath_triMan1	triMan1.fa_4.fa	ORF	JH594686	5375704	5376222	519	Borna-disease-virus-1	N	-	139	42.938	3.06	40	115	288	10	516	177	3	90	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
73538.Loxodonta_africana.N	73538	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	ORF	scaffold_21	3757896	3758672	777	Borna-disease-virus-1	N	-	117	30	6.8	31	80	328	1	750	260	5	161	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
73477.Bambusicola_thoracicus.N	73477	Bambusicola_thoracicus	low_coverage	Bthov1.0	GCA_002909625.1_Bthov1.0_genomic.fna	ORF	PPHD01021191.1	12060	12374	315	Borna-disease-virus-1	N	-	74.7	40	4.86	17	228	337	1	300	110	1	56	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
67943.Chrysochloris_asiatica.N	67943	Chrysochloris_asiatica	low_coverage	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	ORF	scaffold00001	31551534	31552100	567	Borna-disease-virus-1	N	+	66.6	30.5	3.49	13	183	370	1	567	200	7	116	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
68129.Tarsius_syrichta.N	68129	Tarsius_syrichta	complete	goldenpath_tarSyr1	tarSyr1.fa_3.fa	ORF	scaffold_45563	1284	1562	279	Borna-disease-virus-1	N	-	62	39.583	9.44	13	216	311	1	279	96	1	55	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
212818.Phascolarctos_cinereus.L	212818	Phascolarctos_cinereus	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	ORF	phaCin_unsw_v4.1.fa.scaf00131	1320433	1320741	309	Borna-disease-virus-1	L	+	81.6	53.425	2.02	19	405	477	1	219	73	0	34	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
212866.Vombatus_ursinus.L	212866	Vombatus_ursinus	low_coverage	WM_v1.0	GCA_900497805.1_WM_v1.0_genomic.fna	ORF	UNPS01014807.1	47757400	47757696	297	Borna-disease-virus-1	L	-	72	52.055	4.59	16	427	498	1	219	73	1	34	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
67588.Nannospalax_galili.L	67588	Nannospalax_galili	low_coverage	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	ORF	gi|671654723|ref|NW_008355644.1|	182810	183169	360	Borna-disease-virus-1	L	+	67.8	36.496	2.55	14	1014	1140	1	360	137	5	60	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127465.Sarcophilus_harrisii.L	127465	Sarcophilus_harrisii	complete	goldenpath_sarHar1	sarHar1.fa_5.fa	ORF	chr4_GL856947_random	2211905	2212396	492	Borna-disease-virus-1	L	+	61.6	32.168	4.35	13	411	548	13	420	143	3	85	Borna-disease-virus-1	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
3482.Colinus_virginianus.L	3482	Colinus_virginianus	low_coverage	NB1.1	GCA_000599465.1_NB1.1_genomic.fna	ORF	AWGT01029244.1	362	631	270	Canary-bornavirus-3	L	+	62.8	36.264	5.7	13	37	126	1	270	91	2	56	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
128068.Tonatia_saurophila.M	128068	Tonatia_saurophila	low_coverage	TonSau_v1_BIUU	GCA_004024845.1_TonSau_v1_BIUU_genomic.fna	ORF	PVIA01020041.1	5571	6142	572	Canary-bornavirus-3	M	+	72.8	40	1.55	16	46	135	1	270	90	0	54	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
211919.Trichechus_manatus.N	211919	Trichechus_manatus	complete	goldenpath_triMan1	triMan1.fa_5.fa	ORF	JH594769	1787295	1788140	846	Canary-bornavirus-3	N	-	205	43.846	5.84	64	68	322	4	780	260	3	140	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127422.Loxodonta_africana.N	127422	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	ORF	scaffold_48	10700350	10701107	758	Canary-bornavirus-3	N	+	154	45.882	2.61	48	128	297	255	758	170	2	90	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127473.Trichechus_manatus.N	127473	Trichechus_manatus	complete	goldenpath_triMan1	triMan1.fa_6.fa	ORF	JH594797	1846902	1847877	976	Canary-bornavirus-3	N	+	115	38.202	3.59	52	49	224	31	546	178	4	102	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127502.Loxodonta_africana.N	127502	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	ORF	scaffold_1	55840906	55841648	743	Canary-bornavirus-3	N	-	104	40	6.57	34	128	266	297	743	150	2	78	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127261.Chrysochloris_asiatica.N	127261	Chrysochloris_asiatica	low_coverage	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	ORF	scaffold00025	9799364	9799810	447	Canary-bornavirus-3	N	-	87	36.8	6.23	21	206	330	58	420	125	2	75	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127934.Daubentonia_madagascariensis.N	127934	Daubentonia_madagascariensis	low_coverage	DauMad_v1_BIUU	GCA_004027145.1_DauMad_v1_BIUU_genomic.fna	ORF	PVJZ01000007.1	125070	125624	555	Canary-bornavirus-3	N	+	80.5	31.937	4.31	18	53	237	10	555	191	6	115	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
68018.Monodelphis_domestica.N	68018	Monodelphis_domestica	complete	goldenpath_monDom5	chr6.fa	ORF	chr6	63413280	63413567	288	Canary-bornavirus-3	N	-	76.6	38.144	6.4	18	163	259	1	282	97	1	57	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
